2019-04-15;2736150;58755640;102;price<=>price<br>price<=>8500<br>m<=>88<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>
2019-04-16;3106352;58769988;601;price<=>price<br>price<=>5000000<br>m<=>26303
2019-04-19;717669;58815520;401;price<=>price<br>price<=>1200000<br>m<=>2180<br>location<=>city
2019-04-01;2414698;58536880;101;price<=>price<br>price<=>319000<br>m<=>38<br>building_type<=>apartment<br>windows_type<=><br>build_year<=>2015
2019-04-02;2467510;58554232;502;price<=>price<br>price<=>1000<br>m<=>22<br>building_type<=><br>build_year<=>
2019-04-04;4835844;58603448;101;price<=>price<br>price<=>1187500<br>m<=>70<br>building_type<=>apartment<br>windows_type<=><br>build_year<=>2008
2019-04-09;2297140;58672436;101;price<=>price<br>price<=>359000<br>m<=>45.87<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2010
2019-04-10;2467510;58684504;101;price<=>price<br>price<=>797000<br>m<=>63<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>2016
2019-04-12;445364;58720964;102;price<=>price<br>price<=>1700<br>m<=>40<br>building_type<=>block<br>windows_type<=><br>build_year<=>2007
2019-04-12;1633774;58725816;201;price<=>price<br>price<=>143000<br>m<=>1000<br>building_type<=>detached<br>build_year<=><br>windows_type<=>plastic<br>location<=>
2019-04-12;2297140;58726724;101;price<=>price<br>price<=>507000<br>m<=>48.28<br>building_type<=>block<br>windows_type<=><br>build_year<=>2009
2019-04-12;2467510;58732924;101;price<=>price<br>price<=>261000<br>m<=>34<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2018
2019-04-13;3554523;58740836;101;price<=>price<br>price<=>329900<br>m<=>60<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>1988
2019-04-13;2435764;58744336;102;price<=>price<br>price<=>970<br>m<=>61<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-15;2467510;58763736;101;price<=>price<br>price<=>569000<br>m<=>65.22<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2005
2019-04-19;164255;58818584;101;price<=>price<br>price<=>155000<br>m<=>65.81<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-23;654647;58841356;101;price<=>price<br>price<=>236000<br>m<=>38<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-01;786911;58547040;101;price<=>price<br>price<=>159000<br>m<=>36<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>1960
2019-04-02;829123;58548672;101;price<=>price<br>price<=>198000<br>m<=>31.54<br>building_type<=>block<br>windows_type<=><br>build_year<=>2019
2019-04-02;3799927;58559340;101;price<=>price<br>price<=>390000<br>m<=>75<br>building_type<=>block<br>windows_type<=><br>build_year<=>1995
2019-04-02;733277;58566024;201;price<=>price<br>price<=>538000<br>m<=>164<br>building_type<=>ribbon<br>build_year<=>2019<br>windows_type<=>plastic<br>location<=>
2019-04-03;23034;58578596;201;price<=>price<br>price<=>440000<br>m<=>143<br>building_type<=>detached<br>build_year<=>2018<br>windows_type<=>plastic<br>location<=>suburban
2019-04-08;3618819;58654996;401;price<=>price<br>price<=>2550000<br>m<=>17000<br>location<=>suburban
2019-04-09;169748;58675264;101;price<=>price<br>price<=>379000<br>m<=>37.01<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2009
2019-04-10;3618819;58688980;101;price<=>price<br>price<=>587448<br>m<=>81.59<br>building_type<=>block<br>windows_type<=><br>build_year<=>2020
2019-04-10;776737;58689376;101;price<=>price<br>price<=>2600000<br>m<=>180<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2018
2019-04-11;511379;58696288;101;price<=>price<br>price<=>259000<br>m<=>39<br>building_type<=><br>windows_type<=><br>build_year<=>1950
2019-04-12;2736150;58724724;102;price<=>price<br>price<=>2950<br>m<=>57.2<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>1997
2019-04-12;2736150;58724732;102;price<=>price<br>price<=>10000<br>m<=>125<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>
